Filter Set,Message Name,Message Subject,Matched,Refunded,Refunded %,Emails Sent,Emails Opened,Emails Opened %,Emails Clicked,Emails Clicked %,Emails Marked Spam %,Emails Bounced %,Emails Unsubscribed %,Revenue,Revenue from Emails,Emails Cost,Profit from Emails
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0206_03A-3652,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"2,786",264,9.48,247,93.56,0,2.4,0,144,41.94,1.92,"40.024,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0206_03BA-3662,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,102,10,9.8,4,40,0,46.08,0,144,41.94,0.07,"41.874,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0207_02A-3667,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"22,438","1,491",6.65,"1,215",81.49,0,3.36,0,144,41.94,15.48,"26.464,615,384,615"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0207_02BA-3672,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,688,28,4.07,18,64.29,0,43.75,0,144,41.94,0.47,"41.474,615,384,615"
17417-00003699-Osisoft,"17417-00003699-Osisoft-Phone Confirmation-30059-0208_03A-3684,3680",Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"5,522",589,10.67,526,89.3,0,9.83,0,144,41.94,3.81,"38.134,615,384,615"
17417-00003699-Osisoft,"17417-00003699-Osisoft-Phone Confirmation-30041-0212_02A-3718,3716","Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"21,012","2,843",13.53,"2,137",75.17,0,6.65,0.02,144,41.94,14.5,"27.444,615,384,615"
17417-00003699-Osisoft,"17417-00003699-Osisoft-Phone Confirmation-30041-0215_01A-3762,3756","Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"141,332","6,223",4.4,"4,733",76.06,0,3.35,0.01,144,41.94,97.52,"-55.575,384,615,385"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30041-0217_01A-3785,"Discover How To Consolidate, Organize and Contextualize IoT Data For Your Business With OSIsoft",975,2,0.21,"66,674","2,528",3.79,"1,017",40.23,0,5.07,0.02,144,41.94,46.01,"-4.0,653,846,153,846"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0219_02A-3796,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"77,396","1,158",1.5,276,23.83,0,5.69,0.02,144,41.94,53.4,"-11.455,384,615,385"
17417-00003699-Osisoft,17417-00003699-Osisoft-Phone Confirmation-30059-0221_02A-3813,Discover The ROI in Digital Transformation with OSIsoft,975,2,0.21,"68,534","1,083",1.58,236,21.79,0,7.99,0.01,144,41.94,47.29,"-5.3,453,846,153,846"
